"","X1","Y1","ProbId1","X2","Y2","ProbId2","X3","Y3","ProbId3","X4","Y4","ProbId4","X5","Y5","ProbId5","X6","Y6","ProbId6","X7","Y7","ProbId7","X8","Y8","ProbId8"
"45",616.83,700.17,1,1014.7,223.92,0.83043,578.07,716.95,0.85748,595.93,660.09,1,1263.9,663.96,0.99999,776.32,288.75,1,NA,NA,NA,1231.8,703.58,0.89362
"46",616.06,697.14,1,1021,226.24,0.83043,580.46,722.33,0.85748,590.36,657.62,1,1263.6,654.48,0.99999,778.27,286.07,1,NA,NA,NA,1235.1,702.64,0.89362
"47",617.29,693.06,1,1027.7,228.9,0.83043,582.84,727.56,0.85748,585.1,655.28,1,1261.4,641,0.99999,781.62,283.51,1,NA,NA,NA,1239.2,701.69,0.89362
"48",618.21,687.1,1,1033.1,231.18,0.83043,585.09,732.15,0.85748,579.51,652.6,1,1260.5,627.29,0.99999,787.2,280.74,1,NA,NA,NA,1246.3,701.4,0.89362
"49",619.42,679.87,1,1038.5,232.85,0.83043,587.11,736.39,0.85748,576.82,648.76,1,1258.9,615.18,0.99999,793.09,277.64,1,NA,NA,NA,1253.4,699.64,0.89362
"50",620.69,674.57,1,1043.5,233.77,0.83043,589.01,740.37,0.85748,575.45,643.38,1,1257.7,604.5,0.99999,798.11,275.01,1,NA,NA,NA,1260.1,697.51,0.89362
"51",622,669.17,1,1045.1,233.83,0.83043,590.81,743.93,0.85748,574.39,637.5,1,1256.7,594.86,0.99999,803.19,272.75,1,NA,NA,NA,1265.9,695.44,0.89362
"52",623.04,664.7,1,1055,241.02,0.83043,592.2,746.55,0.85748,573.71,631.82,1,1255.8,586.75,0.99999,807,271.06,1,NA,NA,NA,1272.3,692.36,0.89362
"53",624.48,659.65,1,1062.5,244.7,0.83043,593.7,749.21,0.85748,573.07,625.97,1,1257.6,575.89,0.99999,810.15,269.7,1,NA,NA,NA,1273.7,689.1,0.89362
"54",625.84,655.14,1,1069.4,248.27,0.83043,595.55,752.62,0.85748,572.55,620.99,1,1260.6,562.23,0.99999,814.44,267.95,1,NA,NA,NA,1275.7,682.82,0.89362
